name,domain,method,frequent_rate_limit,rateLimit,exists,emailrecovery,phoneNumber,others
aboutme,about.me,register,False,True,False,,,
adobe,adobe.com,password recovery,False,False,False,,,
amazon,amazon.com,login,False,False,False,,,
amocrm,amocrm.com,register,False,True,False,,,
anydo,any.do,login,True,False,False,,,
archive,archive.org,register,False,False,False,,,
armurerieauxerre,armurerie-auxerre.com,register,False,False,False,,,
atlassian,atlassian.com,register,False,True,False,,,
axonaut,axonaut.com,register,False,False,False,,,
babeshows,babeshows.co.uk,register,False,True,False,,,
badeggsonline,badeggsonline.com,register,False,True,False,,,
biosmods,bios-mods.com,register,False,True,False,,,
biotechnologyforums,biotechnologyforums.com,register,False,True,False,,,
bitmoji,bitmoji.com,login,False,True,False,,,
blablacar,blablacar.com,register,True,True,False,,,
blackworldforum,blackworldforum.com,register,True,True,False,,,
blip,blip.fm,register,True,False,False,,,
blitzortung,forum.blitzortung.org,register,False,True,False,,,
bluegrassrivals,bluegrassrivals.com,register,False,True,False,,,
bodybuilding,bodybuilding.com,register,False,False,False,,,
buymeacoffee,buymeacoffee.com,register,True,True,False,,,
cambridgemt,discussion.cambridge-mt.com,register,False,True,False,,,
caringbridge,caringbridge.org,register,False,False,False,,,
chinaphonearena,chinaphonearena.com,register,False,True,False,,,
clashfarmer,clashfarmer.com,register,True,True,False,,,
codecademy,codecademy.com,register,True,True,False,,,
codeigniter,forum.codeigniter.com,register,False,True,False,,,
codepen,codepen.io,register,False,False,False,,,
coroflot,coroflot.com,register,False,False,False,,,
cpaelites,cpaelites.com,register,False,True,False,,,
cpahero,cpahero.com,register,False,True,False,,,
cracked_to,cracked.to,register,True,True,False,,,
crevado,crevado.com,,,True,False,,,
deliveroo,deliveroo.com,,,True,False,,,
demonforums,demonforums.net,register,True,True,False,,,
devrant,devrant.com,register,False,False,False,,,
diigo,diigo.com,register,False,False,False,,,
discord,discord.com,register,False,True,False,,,
docker,docker.com,register,False,False,False,,,
dominosfr,dominos.fr,register,True,True,False,,,
ebay,ebay.com,login,True,True,False,,,
ello,ello.co,register,False,True,False,,,
envato,envato.com,register,False,False,False,,,
eventbrite,eventbrite.com,login,False,False,False,,,
evernote,evernote.com,,,True,False,,,
fanpop,fanpop.com,register,False,False,False,,,
firefox,firefox.com,register,False,False,False,,,
flickr,flickr.com,login,False,False,False,,,
freelancer,freelancer.com,register,False,False,False,,,
freiberg,drachenhort.user.stunet.tu-freiberg.de,register,False,True,False,,,
garmin,garmin.com,register,True,True,False,,,
github,github.com,,,True,False,,,
google,google.com,register,False,True,False,,,
gravatar,en.gravatar.com,other,False,False,False,,,
hubspot,hubspot.com,login,False,False,False,,,
imgur,imgur.com,register,True,True,False,,,
insightly,insightly.com,register,False,False,False,,,
instagram,instagram.com,register,True,True,False,,,
issuu,issuu.com,register,False,True,False,,,
koditv,forum.kodi.tv,register,False,True,False,,,
komoot,komoot.com,register,True,True,False,,,
laposte,laposte.fr,register,False,False,False,,,
lastfm,last.fm,,,True,False,,,
lastpass,lastpass.com,register,False,False,False,,,
mail_ru,mail.ru,password recovery,False,False,False,,,
mybb,community.mybb.com,register,False,False,False,,,
myspace,myspace.com,register,False,True,False,,,
nattyornot,nattyornotforum.nattyornot.com,register,False,True,False,,,
naturabuy,naturabuy.fr,register,False,False,False,,,
ndemiccreations,forum.ndemiccreations.com,register,False,True,False,,,
nextpvr,forums.nextpvr.com,register,False,True,False,,,
nike,nike.com,register,False,True,False,,,
nimble,nimble.com,register,False,True,False,,,
nocrm,nocrm.io,register,False,True,False,,,
nutshell,nutshell.com,register,False,True,False,,,
odnoklassniki,ok.ru,password recovery,False,True,False,,,
office365,office365.com,other,False,False,False,,,
onlinesequencer,onlinesequencer.net,register,False,True,False,,,
parler,parler.com,login,False,False,False,,,
patreon,patreon.com,login,True,True,False,,,
pinterest,pinterest.com,,,True,False,,,
pipedrive,pipedrive.com,register,False,True,False,,,
plurk,plurk.com,register,False,False,False,,,
pornhub,pornhub.com,register,False,True,False,,,
protonmail,protonmail.ch,other,False,False,False,,,
quora,quora.com,register,False,False,False,,,
rambler,rambler.ru,register,False,False,False,,,
redtube,redtube.com,,,True,False,,,
replit,replit.com,register,True,False,False,,,
rocketreach,rocketreach.co,,,True,False,,,
samsung,samsung.com,,,True,False,,,
seoclerks,seoclerks.com,register,False,False,False,,,
sevencups,7cups.com,register,True,True,False,,,
smule,smule.com,register,True,True,False,,,
snapchat,snapchat.com,,,True,False,,,
soundcloud,soundcloud.com,,,True,False,,,
sporcle,sporcle.com,register,False,False,False,,,
spotify,spotify.com,register,True,False,False,,,
strava,strava.com,register,False,True,False,,,
strava,strava.com,register,False,True,False,,,
taringa,taringa.net,register,True,False,False,,,
teamleader,teamleader.eu,register,False,True,False,,,
teamtreehouse,teamtreehouse.com,register,False,False,False,,,
tellonym,tellonym.me,register,False,False,False,,,
thecardboard,thecardboard.org,register,False,True,False,,,
therianguide,forums.therian-guide.com,register,False,True,False,,,
thevapingforum,thevapingforum.com,register,False,True,False,,,
tumblr,tumblr.com,register,False,True,False,,,
tunefind,tunefind.com,register,True,True,False,,,
twitter,twitter.com,register,False,False,False,,,
venmo,venmo.com,register,True,True,False,,,
vivino,vivino.com,register,False,True,False,,,
voxmedia,voxmedia.com,register,False,True,False,,,
vrbo,vrbo.com,register,False,True,False,,,
vsco,vsco.co,register,False,True,False,,,
wattpad,wattpad.com,register,True,True,False,,,
wordpress,wordpress.com,login,False,False,False,,,
xing,xing.com,register,False,True,False,,,
xnxx,xnxx.com,,,True,False,,,
xvideos,xvideos.com,register,False,True,False,,,
yahoo,yahoo.com,login,True,True,False,,,
zoho,zoho.com,register,False,False,False,,,
